tau=41
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
9
39
131
388
1073
2912
7480
18483
43357
96329
203715
410724
788658
1450412
2549804
4281451
6874671
10573886
15550220
21884779
29492913
38047891
46968688
55525674
62831693
68042538
70459662
69726846
65894702
60503524
55032703
49542406
44097349
38766928
33643950
28816477
24358364
20290350
16652553
13460881
10722828
8408527
6483979
4916307
3667234
2692882
1949085
1385725
966145
663797
448155
296412
192712
122675
76675
46769
28024
16579
9434
5266
2924
1591
839
406
192
103
49
17
7
4
2
0
0
0
0
0
0
0
0
