tau=13
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
11
36
91
254
661
1733
4376
10709
25116
56737
122642
251781
495685
936661
1691212
2925992
4854396
7716698
11768217
17218933
24153882
32496373
41926058
51845993
61326593
69352219
74799327
76779635
74811540
70346643
64950491
58699595
51832614
44608575
37385220
30463540
24120721
18534729
13815170
9976664
6983957
4740741
3118214
1984111
1222728
730196
421823
234838
126430
66133
33279
16109
7633
3565
1578
667
275
110
45
18
7
3
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
