tau=29
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
2
5
24
89
275
772
2080
5234
12865
30549
69029
148707
305246
602103
1134934
2039818
3504284
5767523
9088655
13690028
19730556
27213657
35903157
45278882
54619513
62967664
69316844
72796724
72909914
69546291
64265978
58650413
52793390
46810412
40829199
35018093
29514920
24429084
19832493
15794834
12326445
9423521
7052585
5168736
3711078
2608404
1793942
1205520
791564
509442
319868
195959
116560
67850
38802
21415
11593
6142
3168
1636
796
370
178
85
37
17
8
3
3
2
0
0
0
0
0
0
0
0
0
0
