tau=31
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
11
38
118
309
796
2152
5579
13636
32142
72483
155587
318711
623906
1169836
2098813
3601300
5911763
9290449
13959438
20065122
27585141
36270663
45603471
54828321
62986446
69137529
72438432
72390734
68917269
63603256
58005712
52205088
46317148
40462642
34800417
29427701
24447578
19946922
15976076
12548677
9672158
7311288
5418205
3929946
2792002
1942373
1321861
880166
575349
368648
230359
140838
84383
49253
28072
15662
8505
4562
2415
1282
648
315
163
76
20
5
1
0
0
0
0
0
0
0
0
0
0
0
0
