tau=47
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
6
17
59
177
578
1692
4450
11025
25907
57922
124747
256299
503198
945186
1696853
2915556
4799407
7567077
11425510
16533489
22942134
30494187
38865475
47485772
55620675
62442218
67159749
69149914
68142220
64190177
58825706
53476303
48163603
42961342
37907107
33080848
28530182
24310180
20454030
16983194
13917740
11254165
8974143
7061013
5471879
4177696
3145553
2332662
1702190
1225107
868358
604968
415126
281700
187127
122075
79023
49817
30680
18648
11054
6397
3776
2214
1233
671
345
186
117
71
33
9
3
0
0
0
0
0
0
0
