tau=19
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8
28
89
260
697
1851
4631
11384
26870
60353
129569
267185
525931
990328
1787404
3089871
5121324
8141869
12387743
18069055
25251495
33791747
43304710
53103383
62213629
69611932
74262000
75421266
72784596
67887762
62320920
56195576
49693740
43017975
36444664
30160778
24364290
19193725
14736204
11014329
8016841
5680326
3914671
2622956
1710245
1084517
667244
399333
232953
131564
71746
37807
19550
9903
4916
2373
1069
454
213
93
27
7
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
