tau=11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
5
13
61
210
604
1666
4209
10205
24201
54912
119596
247827
488888
923034
1665941
2881528
4776531
7596575
11596979
16975780
23819697
32084565
41470188
51396478
60987454
69205226
74906578
77206323
75522367
71230745
65900783
59600832
52584249
45156819
37696196
30520621
23964642
18230773
13437344
9588872
6615490
4416313
2852665
1781050
1076464
629061
354074
193383
102527
52246
25516
11933
5370
2402
1136
508
198
80
37
11
4
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
