d=20-tau=18
0
0
0
2
16
62
175
461
1123
2677
6237
13798
29414
60711
118460
221086
397132
683726
1127375
1782347
2704337
3943074
5520506
7420740
9583711
11895635
14194651
16286047
17969721
19065359
19439288
19439631
19440770
19428283
19423998
19424618
19418909
19413900
19417852
19423509
19428072
19428862
19426631
19431316
19438974
19441505
19439962
19450027
19457456
19456406
19454384
19461422
19468048
19460139
19451044
19447668
19452309
19455774
19454329
19448022
19439356
19420402
19390580
19335882
19235850
19066074
18800870
18425426
17913342
17220315
16348041
15293354
14067565
12707370
11246425
9739177
8242977
6816337
5496316
4322249
3310909
2467750
1787800
1260528
866546
578862
375313
236184
143839
85422
49294
27642
15037
7716
3844
1965
962
437
211
88
33
