d=20-tau=64
0
1
2
7
22
59
176
511
1253
2963
6772
15025
32155
65508
128594
241521
432365
743090
1223988
1936265
2941989
4288039
5996719
8052117
10394489
12907506
15407086
17682154
19518037
20714270
21130361
21123273
21122320
21131139
21139737
21138363
21138355
21138349
21134629
21143299
21147525
21145889
21146641
21141040
21127958
21109134
21081177
21053067
21018261
20956097
20876357
20790287
20681915
20536175
20372647
20183037
19952025
19684234
19367841
19000791
18581441
18110313
17588745
17006872
16365850
15670681
14918717
14128097
13300124
12433711
11548004
10644192
9736657
8841187
7968297
7120846
6306376
5535230
4808397
4137867
3525980
2976784
2489574
2062198
1691305
1370846
1097951
869873
681155
527788
404853
307144
229845
169722
124686
90861
65204
46217
32505
22887
16347
