d=20-tau=10
0
1
2
3
8
41
158
449
1095
2620
6083
13606
29094
59493
117058
219697
392882
674260
1111232
1758669
2671581
3894196
5447854
7320148
9454233
11744270
14024513
16088588
17752949
18844248
19218073
19216603
19221738
19226029
19227719
19230212
19232011
19236288
19244838
19250445
19257714
19260919
19259628
19261466
19262632
19263793
19264184
19265805
19265834
19259360
19250631
19242247
19239000
19223760
19213391
19224182
19229279
19228663
19231107
19232661
19234065
19232068
19231630
19229790
19210408
19162038
19082589
18922878
18623736
18147337
17466244
16527497
15325580
13885760
12254298
10527736
8780622
7103080
5561506
4216053
3098063
2202400
1512417
1003894
645661
401827
240676
139025
77567
41851
21684
10918
5312
2471
1128
528
245
110
40
11
3
