d=20-tau=7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
318
63701
12706321
25284373
25283893
25278082
25274757
25279805
25283477
25276686
25270682
25271672
25267917
25269866
25270257
25259592
25257432
25275042
25289570
25291255
25281733
25278679
25278602
25271340
25276533
25276566
25271024
25264352
25255541
25255599
25244806
25230028
25221616
25217307
25225627
25223758
25217820
24169900
22139692
19629584
16877496
13840788
10857900
8002240
5480708
3515551
1976867
1066031
443654
193061
45691
15137
62
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
