d,τ,µ
40,0,-0.0320626
40,1,-0.154457
40,2,-0.306555
40,3,-0.415337
40,4,-0.614893
40,5,-0.807881
40,6,-0.987737
40,7,-1.14348
40,8,-1.30296
40,9,-1.53022
40,10,-1.67549
40,11,-1.88476240
40,12,-1.99895240
40,13,-2.18513240
40,14,-2.3787
40,15,-2.55778
40,16,-2.75192
40,17,-2.91973
40,18,-3.09904
40,19,-3.25206
40,20,-3.43269140
40,21,-3.59841040
40,22,-3.75551240
40,23,-3.92171240
40,24,-4.0781040
40,25,-4.24801040
40,26,-4.40001040
40,27,-4.54801240
40,28,-4.72991240
40,29,-4.87891240
40,30,-5.02091240
40,31,-5.16561240
40,32,-5.32482340
40,33,-5.47812340
40,34,-5.61392340
40,35,-5.77502340
40,36,-5.89592340
40,37,-6.0579340
40,38,-6.17661340
40,39,-6.33101340
40,40,-6.46091340
40,41,-6.61431340
40,42,-6.74933040
40,43,-6.88883040
40,44,-7.00993040
40,45,-7.1446340
40,46,-7.25331340
40,47,-7.38016340
40,48,-7.50252340
40,49,-7.62856340
40,50,-7.75613
