d,τ,µ
20 ,  0 ,  -0.005860555996994139
20 ,  10 ,  -1.6143749599147459
20 ,  20 ,  -3.0908194028682123
20 ,  30 ,  -4.211678282207953
20 ,  40 ,  -4.824410693060922
20 ,  50 ,  -4.988655981383588
20 ,  60 ,  -4.98142875420388
20 ,  70 ,  -4.960493387388434
20 ,  80 ,  -4.93888348785316
20 ,  90 ,  -4.931968438752596
20 ,  100 ,  -4.9137947665439405
20 ,  110 ,  -4.895586304529655
20 ,  120 ,  -4.845792425833748
20 ,  130 ,  -4.763799229345945
20 ,  140 ,  -4.760220500139109
20 ,  150 ,  -4.694442795670946
20 ,  160 ,  -4.6378679398266
20 ,  170 ,  -4.599566151357017
20 ,  180 ,  -4.535011172747052
20 ,  190 ,  -4.526303205081386
20 ,  200 ,  -4.4676302530885
20 ,  210 ,  -4.394674564693138
20 ,  220 ,  -4.356902721517137
20 ,  230 ,  -4.3287779583187485
20 ,  240 ,  -4.245944451719043
20 ,  250 ,  -4.2077022288902945
20 ,  260 ,  -4.181848490224463
20 ,  270 ,  -4.129913609295048
20 ,  280 ,  -4.142182778744266
20 ,  290 ,  -4.045000779125646
