d,τ,µ
0,30,0.250945
1,30,0.229647
2,30,0.0703899
3,30,-0.157547
4,30,-0.426503
5,30,-0.718932
6,30,-1.02259
7,30,-1.32862
8,30,-1.62853
9,30,-1.92568
10,30,-2.2105
11,30,-2.48719
12,30,-2.75742
13,30,-3.01654
14,30,-3.25624
15,30,-3.48651
16,30,-3.67152
17,30,-3.82355
18,30,-3.96372
19,30,-4.07984
20,30,-4.17719
21,30,-4.26897
22,30,-4.34877
23,30,-4.42888
24,30,-4.47497
25,30,-4.53973
26,30,-4.57768
27,30,-4.64167
28,30,-4.67324
29,30,-4.70824
30,30,-4.75435
31,30,-4.78411
32,30,-4.79538
33,30,-4.84899
34,30,-4.86893
35,30,-4.90248
36,30,-4.94145
37,30,-4.93775
38,30,-4.98074
39,30,-4.98582
40,30,-5.0122
41,30,-5.01661
42,30,-5.02219
43,30,-5.05156
44,30,-5.00212
45,30,-4.95895
46,30,-4.83845
47,30,-4.4923
48,30,-3.72267
49,30,-2.52254
50,30,0.0585781
