d=10-tau=10
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
5
13
35
67
94
100
80
125
295
632
1174
1945
3210
4961
6928
9295
11900
14353
16651
18599
20377
21756
22649
23436
23995
24497
24570
24371
24514
24779
24665
24519
24405
24155
24199
24536
24812
24689
24347
24032
23929
24081
24051
23906
23673
23390
23372
23580
23796
23933
23845
23541
23638
23936
24213
24638
24559
24141
