d=10-tau=3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
2
4
4
5
25
127
453
1208
2736
5351
8876
12854
16481
19392
21269
22248
22749
22680
22484
22383
22382
22542
22624
22520
22464
22537
22414
22314
22504
22837
23206
23506
23798
23845
23800
23753
23921
24168
24211
24233
24108
24226
24310
24310
24303
24066
23864
23893
23971
23761
23704
23724
23492
23353
