d,τ,µ
0,20,-0.00524837
2,20,-0.0365842
4,20,-0.0544511
6,20,-0.082835
8,20,-0.104648
10,20,-0.111351
12,20,-0.130592
14,20,-0.129755
16,20,-0.148963
18,20,-0.144746
20,20,-0.180038
22,20,-0.15148
24,20,-0.193053
26,20,-0.185084
28,20,-0.214477
30,20,-0.153219
32,20,-0.160075
34,20,-0.234388
36,20,-0.163011
38,20,-0.180761
40,20,-0.286093
42,20,-0.139265
44,20,-0.174342
46,20,-0.281569
47,20,-0.31012
48,20,-0.137942
49,20,-0.304644
50,20,-0.328754
52,20,-0.339155
54,20,-0.0672909
56,20,-0.11812
58,20,-0.325158
60,20,-0.312651
62,20,-0.384363
64,20,-0.0226212
66,20,-0.0535596
68,20,-0.4269
70,20,-0.0311518
72,20,-0.00774968
74,20,-0.408089
76,20,0.0457079
78,20,-0.0609626
80,20,0.0512031
82,20,0.0270511
84,20,-0.541519
86,20,-0.502707
88,20,-0.0438516
90,20,0.0776038
92,20,-0.587326
94,20,-0.617864
96,20,-0.606191
98,20,0.112928
100,20,0.174322
102,20,-0.46458
104,20,-0.710262
106,20,0.178158
108,20,-0.552234
110,20,0.22067
112,20,-0.455812
114,20,-0.679226
116,20,-0.7984
118,20,-0.733137
120,20,0.114652
122,20,-0.403841
124,20,0.145608
126,20,0.154234
128,20,0.0870513
130,20,-0.481937
132,20,-0.533684
134,20,-0.842918
136,20,0.223965
138,20,-1.01226
140,20,0.434512
142,20,-0.621283
144,20,-0.734436
146,20,0.344037
148,20,0.228393
150,20,-0.963339
152,20,0.294073
154,20,0.38369
156,20,0.0259822
158,20,0.410608
160,20,0.463731
162,20,0.532031
164,20,0.534874
166,20,-1.13797
168,20,-0.673916
170,20,0.508705
172,20,0.723213
174,20,0.371062
176,20,-0.0441339
178,20,0.158819
180,20,0.117762
182,20,0.127854
184,20,-0.637179
186,20,0.59208
188,20,-0.953124
190,20,0.0597689
192,20,-0.342796
194,20,-0.604446
196,20,0.369676
198,20,0.0302342
200,20,-0.786307
202,20,-1.36931
204,20,0.214088
206,20,-0.492372
208,20,-0.572198
210,20,-1.003
212,20,-1.33168
214,20,-0.458646
216,20,-0.118791
218,20,0.0065031
220,20,-0.302845
222,20,-0.906243
224,20,0.733877
226,20,0.360941
228,20,-0.634847
230,20,0.624867
232,20,-0.353314
234,20,0.850458
236,20,-0.756277
238,20,-0.593811
240,20,-1.2639
242,20,0.0908268
244,20,-0.130297
246,20,0.540734
248,20,-0.883616
250,20,-0.833474
252,20,1.03749
254,20,-0.113281
256,20,-0.835421
258,20,0.00995774
0,20,-0.00137785
