d,τ,µ
20,0,-0.0253802
20,2,-0.0111943
20,4,-0.0477723
20,6,-0.0427554
20,8,-0.0553658
20,10,-0.0716546
20,12,-0.116021
20,14,-0.118425
20,16,-0.134427
20,18,-0.155756
20,20,-0.178032
20,22,-0.183219
20,24,-0.20884
20,26,-0.234579
20,28,-0.232642
20,30,-0.252785
20,32,-0.275052
20,34,-0.286967
20,36,-0.322869
20,38,-0.337552
20,40,-0.333164
20,42,-0.370293
20,44,-0.39851
20,46,-0.403899
20,48,-0.43482
20,50,-0.432989
20,52,-0.471585
20,54,-0.46641
20,56,-0.500015
20,58,-0.500872
20,60,-0.525776
20,62,-0.536251
20,64,-0.577926
20,66,-0.575828
20,68,-0.59465
20,70,-1.00455
20,72,-0.855912
20,74,-0.87972
20,76,-0.910938
20,78,-0.929835
20,80,-0.953574
20,82,-1.18517
20,84,-1.03102
20,86,-1.2357
20,88,-1.24432
20,90,-1.2706
20,92,-1.33781
20,94,-1.29448
20,96,-1.17601
20,98,-1.44299
20,100,-1.47463
20,102,-1.47999
20,104,-1.53913
20,106,-1.35308
20,108,-1.39812
20,110,-1.59515
20,112,-1.44847
20,114,-1.44363
20,116,-1.68605
20,118,-1.70962
20,120,-1.55281
20,122,-1.79486
20,124,-1.64651
20,126,-1.65082
20,128,-1.67688
20,130,-1.93004
20,132,-1.76446
20,134,-1.83264
20,136,-1.81753
20,138,-2.04871
20,140,-1.89819
20,142,-1.90236
20,144,-2.11194
20,146,-2.18277
20,148,-2.01939
20,150,-2.06675
20,152,-2.24659
20,154,-2.09093
20,156,-2.34376
20,158,-2.35926
20,160,-2.4043
20,162,-2.4391
20,164,-2.46922
20,166,-2.30306
20,168,-2.35038
20,170,-2.52572
20,172,-2.40581
20,174,-2.63339
20,176,-2.4944
20,178,-2.70901
20,180,-2.56012
20,182,-2.75908
20,184,-2.80574
20,186,-2.6615
20,188,-2.85131
20,190,-2.83809
20,192,-2.77071
20,194,-2.84474
20,196,-2.86025
20,198,-3.06124
20,200,-2.90433
20,202,-2.94137
20,204,-3.07971
20,206,-3.0983
20,208,-3.19039
20,210,-3.26628
20,212,-3.12701
20,214,-3.15964
20,216,-3.38005
20,218,-3.37469
20,220,-3.2634
20,222,-3.4949
20,224,-3.34487
20,226,-3.55668
20,228,-3.39981
20,230,-3.6359
20,232,-3.49368
20,234,-3.52429
20,236,-3.55277
20,238,-3.58152
20,240,-3.80835
20,242,-3.80832
20,244,-3.78257
20,246,-3.89148
20,248,-3.96405
20,250,-3.95997
20,252,-3.87584
20,254,-4.02554
20,256,-3.95539
20,258,-3.95921
20,260,-4.03461
20,262,-4.09774
20,264,-4.1342
20,266,-4.26817
20,268,-4.3543
20,270,-4.24195
20,272,-4.27816
20,274,-4.42704
20,276,-4.46717
20,278,-4.46679
20,280,-4.55668
20,282,-4.42445
20,284,-4.6267
20,286,-4.48205
20,288,-4.53942
20,290,-4.5821
20,292,-4.78812
20,294,-4.80992
20,296,-4.7964
20,298,-4.87586
20,300,-4.77664
20,302,-4.81173
20,304,-5.00575
20,306,-5.00141
20,308,-5.00506
20,310,-4.97549
20,312,-5.13857
20,314,-5.20928
20,316,-5.0999
20,318,-5.2768
20,320,-5.31889
20,322,-5.18212
20,324,-5.22465
20,326,-5.29984
20,328,-5.38814
20,330,-5.50946
20,332,-5.52861
20,334,-5.57496
20,336,-5.60359
20,338,-5.64046
20,340,-5.5333
20,342,-5.67227
20,344,-5.65267
20,346,-5.79578
20,348,-5.82528
20,350,-5.84383
20,352,-5.76438
20,354,-5.93283
20,356,-5.94359
20,358,-5.89015
20,360,-6.00129
20,362,-6.08431
20,364,-6.11599
20,366,-6.15979
20,368,-6.0463
20,370,-6.059
20,372,-6.0767
20,374,-6.14459
20,376,-6.35096
20,378,-6.38985
20,380,-6.36943
20,382,-6.34385
20,384,-6.48653
20,386,-6.33133
20,388,-6.39506
20,390,-6.59382
20,392,-6.45393
20,394,-6.57357
20,396,-6.70415
20,398,-6.71085
20,400,-6.77237
20,402,-6.80423
20,404,-6.83733
20,406,-6.74945
20,408,-6.90025
20,410,-6.8924
20,412,-6.89245
20,414,-6.83479
20,416,-6.98119
20,418,-6.89604
20,420,-6.93689
20,422,-6.96894
20,424,-7.11939
20,426,-7.09324
20,428,-7.20435
20,430,-7.09398
20,432,-7.28929
20,434,-7.1604
20,436,-7.35424
20,438,-7.36259
20,440,-7.33611
20,442,-7.41357
20,444,-7.33502
20,446,-7.37079
20,448,-7.39839
20,450,-7.47383
20,452,-7.4713
20,454,-7.49316
20,456,-7.55085
20,458,-7.54675
20,460,-7.56508
20,462,-7.62584
20,464,-7.78038
20,466,-7.74917
20,468,-7.70358
20,470,-7.87816
20,472,-7.74712
20,474,-7.77429
20,476,-7.80964
20,478,-7.97075
20,480,-7.88781
20,482,-7.93757
20,484,-8.06724
20,486,-8.08331
20,488,-8.0015
20,490,-8.03388
20,492,-8.07188
20,494,-8.17454
20,496,-8.22585
20,498,-8.18515
