d,τ,µ
0,50,-2.28742e-05
2,50,0.232696
4,50,-0.0445383
6,50,-0.521932
8,50,-1.09319
10,50,-1.69375
12,50,-2.29281
14,50,-2.87488
16,50,-3.43443
18,50,-3.97531
20,50,-4.4931
22,50,-4.98965
24,50,-5.43425
26,50,-5.83738
28,50,-6.19239
30,50,-6.44905
32,50,-6.67236
34,50,-6.86855
36,50,-7.03692
38,50,-7.16929
40,50,-7.29823
42,50,-7.41152
44,50,-7.49396
46,50,-7.5589
47,50,-7.6341
48,50,-7.67887
49,50,-7.65298
50,50,-7.70625
52,50,-7.74498
54,50,-7.84766
56,50,-7.85682
58,50,-7.89735
60,50,-8.07278
62,50,-8.07721
64,50,-7.99086
66,50,-7.97105
68,50,-8.21055
70,50,-8.27117
72,50,-8.07113
74,50,-8.0962
76,50,-8.33623
78,50,-8.21847
80,50,-8.39479
82,50,-8.21793
84,50,-8.2259
86,50,-8.23502
88,50,-8.22766
90,50,-8.20514
92,50,-8.17993
94,50,-8.28
96,50,-8.70873
98,50,-8.27985
100,50,-8.67694
102,50,-8.70691
104,50,-8.20169
106,50,-8.70823
108,50,-8.75984
110,50,-8.29972
112,50,-8.86077
114,50,-8.17546
116,50,-8.17385
118,50,-8.87591
120,50,-8.81529
122,50,-8.7566
124,50,-8.40441
126,50,-8.91
128,50,-9.00631
130,50,-8.34103
132,50,-9.01606
134,50,-9.01209
136,50,-9.16319
138,50,-8.41635
140,50,-8.14081
142,50,-8.13716
144,50,-8.24749
146,50,-8.0903
148,50,-9.20713
150,50,-9.37085
152,50,-8.13661
154,50,-8.05781
156,50,-9.33349
158,50,-8.45737
160,50,-8.34707
162,50,-9.24824
164,50,-9.37717
166,50,-8.18772
168,50,-9.03749
170,50,-9.10959
172,50,-8.37262
174,50,-8.10469
176,50,-7.91235
178,50,-9.15315
180,50,-8.21619
182,50,-7.89018
184,50,-7.89628
186,50,-8.48831
188,50,-8.039
190,50,-8.11433
192,50,-9.51992
194,50,-9.5093
196,50,-8.10371
198,50,-8.43568
200,50,-7.80362
202,50,-8.42387
204,50,-8.10721
206,50,-9.80878
208,50,-9.19782
210,50,-9.12101
212,50,-7.88376
214,50,-9.55449
216,50,-7.78241
218,50,-8.49165
220,50,-9.57914
222,50,-7.84262
224,50,-8.24133
226,50,-8.13618
228,50,-9.72416
230,50,-7.95964
232,50,-8.23527
234,50,-7.8235
236,50,-9.07827
238,50,-8.59854
240,50,-9.11108
242,50,-8.72561
244,50,-7.78977
246,50,-7.1814
248,50,-6.26593
250,50,-1.83863
252,50,-1.00499
254,50,0.800321
256,50,-0.889969
258,50,-0.141128
0,50,0.000208868
