d,τ,µ
0,50,-0.00174286
2,50,-0.0655504
4,50,-0.138968
6,50,-0.195614
8,50,-0.243568
10,50,-0.295223
12,50,-0.331198
14,50,-0.355244
16,50,-0.380131
18,50,-0.4112
20,50,-0.422911
22,50,-0.457938
24,50,-0.467845
26,50,-0.510336
28,50,-0.527515
30,50,-0.513496
32,50,-0.564779
34,50,-0.559138
36,50,-0.516977
38,50,-0.530975
40,50,-0.650877
42,50,-0.537625
44,50,-0.701818
46,50,-0.69374
47,50,-0.722532
48,50,-0.723876
49,50,-0.745618
50,50,-0.749104
52,50,-0.543993
54,50,-0.553782
56,50,-0.608908
58,50,-0.601601
60,50,-0.556349
62,50,-0.556581
64,50,-0.596029
66,50,-0.566494
68,50,-0.955358
70,50,-0.821797
70,50,-0.515137
72,50,-0.907839
74,50,-0.55665
76,50,-0.838713
78,50,-0.973445
80,50,-1.07806
82,50,-1.06007
84,50,-1.08977
86,50,-1.03111
88,50,-0.496119
90,50,-1.02539
92,50,-1.12791
94,50,-1.14684
96,50,-1.19236
98,50,-0.430131
100,50,-1.31192
102,50,-1.24217
104,50,-0.457992
106,50,-0.701752
108,50,-0.60223
110,50,-0.701758
112,50,-0.552958
114,50,-0.655732
116,50,-1.34131
118,50,-0.607229
120,50,-0.645239
122,50,-0.598498
124,50,-1.537
126,50,-1.4398
128,50,-1.32991
130,50,-1.26197
132,50,-1.57988
134,50,-1.49002
136,50,-1.58357
138,50,-0.559302
140,50,-1.55224
142,50,-1.78192
144,50,-1.65768
146,50,-1.64106
148,50,-1.53028
150,50,-0.554638
152,50,-0.679919
154,50,-0.589605
156,50,-0.558292
158,50,-0.752852
160,50,-0.51571
162,50,-1.68995
164,50,-1.62265
166,50,-0.604363
168,50,-1.71613
170,50,-1.73137
172,50,-1.78513
174,50,-2.09323
176,50,-2.08292
178,50,-2.15042
180,50,-2.23584
182,50,-1.89442
184,50,-1.86769
186,50,-0.863746
188,50,-2.22791
190,50,-0.727168
192,50,-0.887267
194,50,-2.01069
196,50,-1.39844
198,50,-1.58506
200,50,-2.4194
202,50,-2.65688
204,50,-2.82808
206,50,-3.07983
208,50,-1.87534
210,50,-1.8484
212,50,-2.95636
214,50,-1.50697
216,50,-3.515
218,50,-3.04248
220,50,-2.79698
222,50,-3.7633
224,50,-3.1693
226,50,-3.66046
228,50,-2.81802
230,50,-4.51521
232,50,-3.39461
234,50,-5.43858
236,50,-4.79797
238,50,-6.24539
240,50,-6.32747
242,50,-6.83174
244,50,-5.57323
246,50,-4.84594
248,50,-4.40489
250,50,0.998643
252,50,1.02501
254,50,-0.311509
256,50,0.942756
258,50,1.04128


