d,τ,µ
20,0,-0.00645044
20,2,-0.265804
20,4,-0.588584
20,6,-0.924906
20,8,-1.2549
20,10,-1.58305
20,12,-1.90328
20,14,-2.20635
20,16,-2.49513
20,18,-2.77856
20,20,-3.05766
20,22,-3.31463
20,24,-3.54964
20,26,-3.77657
20,28,-3.99437
20,30,-4.17521
20,32,-4.3469
20,34,-4.50385
20,36,-4.63243
20,38,-4.7344
20,40,-4.80297
20,42,-4.84881
20,44,-4.88428
20,46,-4.90081
20,48,-4.91884
20,50,-4.94492
20,52,-4.9568
20,54,-4.96229
20,56,-4.97301
20,58,-4.98086
20,60,-4.97726
20,62,-4.98294
20,64,-4.98828
20,66,-4.98653
20,68,-4.98701
20,70,-4.98236
20,72,-4.97952
20,74,-4.98406
20,76,-4.97713
20,78,-4.97557
20,80,-4.96777
20,82,-4.96357
20,84,-4.95814
20,86,-4.95108
20,88,-4.943
20,90,-4.94221
20,92,-4.93274
20,94,-4.92395
20,96,-4.91724
20,98,-4.90751
20,100,-4.90401
20,102,-4.8948
20,104,-4.89058
20,106,-4.87569
20,108,-4.86828
20,110,-4.86467
20,112,-4.84931
20,114,-4.84664
20,116,-4.83049
20,118,-4.8216
20,120,-4.81517
20,122,-4.80965
20,124,-4.80056
20,126,-4.79334
20,128,-4.77809
20,130,-4.77323
20,132,-4.76204
20,134,-4.75371
20,136,-4.73908
20,138,-4.73781
20,140,-4.72578
20,142,-4.71625
20,144,-4.70051
20,146,-4.6974
20,148,-4.68614
20,150,-4.67828
20,152,-4.67035
20,154,-4.65255
20,156,-4.64459
20,158,-4.6421
20,160,-4.62568
20,162,-4.6154
20,164,-4.60997
20,166,-4.59904
20,168,-4.58999
20,170,-4.57904
20,172,-4.56738
20,174,-4.56141
20,176,-4.5526
20,178,-4.53809
20,180,-4.52756
20,182,-4.52127
20,184,-4.50875
20,186,-4.50399
20,188,-4.48881
20,190,-4.48353
20,192,-4.47344
20,194,-4.4617
20,196,-4.45227
20,198,-4.44117
20,200,-4.43161
20,202,-4.42207
20,204,-4.41062
20,206,-4.40395
20,208,-4.40166
20,210,-4.38457
20,212,-4.37408
20,214,-4.37214
20,216,-4.35635
20,218,-4.35149
20,220,-4.34682
20,222,-4.33251
20,224,-4.32163
20,226,-4.30783
20,228,-4.30304
20,230,-4.30223
20,232,-4.29
20,234,-4.28094
20,236,-4.26456
20,238,-4.25483
20,240,-4.244
20,242,-4.24033
20,244,-4.22765
20,246,-4.22121
20,248,-4.21931
20,250,-4.20811
20,252,-4.19919
20,254,-4.18921
20,256,-4.17942
20,258,-4.16166
20,260,-4.15731
20,262,-4.14612
20,264,-4.14564
20,266,-4.1393
20,268,-4.11998
20,270,-4.12058
20,272,-4.10409
20,274,-4.10109
20,276,-4.08982
20,278,-4.08064
20,280,-4.07305
20,282,-4.05937
20,284,-4.05253
20,286,-4.04993
20,288,-4.03616
20,290,-4.02596
20,292,-4.02372
20,294,-4.01451
20,296,-4.00297
20,298,-3.99602
