d,τ,µ
0,20,-0.00024491
2,20,0.120892
4,20,-0.256372
6,20,-0.783124
8,20,-1.31291
10,20,-1.78483
12,20,-2.13426
14,20,-2.36268
16,20,-2.51431
18,20,-2.62576
20,20,-2.71575
22,20,-2.78397
24,20,-2.83816
26,20,-2.87793
28,20,-2.90805
30,20,-2.96589
32,20,-2.96863
34,20,-2.99818
36,20,-3.025
38,20,-3.0208
40,20,-3.06407
42,20,-3.03878
44,20,-3.0709
46,20,-3.06589
47,20,-3.05302
48,20,-3.13717
49,20,-3.16978
50,20,-3.05875
52,20,-3.1547
54,20,-3.09163
56,20,-3.18933
58,20,-3.08153
60,20,-3.24174
62,20,-3.04427
64,20,-3.05552
66,20,-3.08203
68,20,-3.31719
70,20,-3.04912
72,20,-3.30028
74,20,-3.07073
76,20,-3.13325
78,20,-3.33745
80,20,-3.36674
82,20,-3.35348
84,20,-3.41072
86,20,-3.40519
88,20,-3.08268
90,20,-3.0425
92,20,-3.50234
94,20,-2.92522
96,20,-3.04863
98,20,-3.41394
100,20,-2.96214
102,20,-3.06364
104,20,-3.05067
106,20,-2.84804
108,20,-3.4392
110,20,-3.59893
112,20,-3.03094
114,20,-3.07752
116,20,-2.92889
118,20,-3.58887
120,20,-3.56209
122,20,-2.9464
124,20,-2.96739
126,20,-2.95891
128,20,-3.04622
130,20,-2.93723
132,20,-3.54637
134,20,-3.57286
136,20,-2.81045
138,20,-2.77031
140,20,-2.8448
142,20,-2.70163
144,20,-3.82117
146,20,-3.69112
148,20,-3.49393
150,20,-3.76459
152,20,-3.89115
154,20,-3.74971
156,20,-3.90702
158,20,-2.7623
160,20,-2.94864
162,20,-2.57149
164,20,-2.68959
166,20,-3.96082
168,20,-3.90311
170,20,-3.90014
172,20,-3.78079
174,20,-2.85386
176,20,-4.17761
178,20,-4.01411
180,20,-2.3832
182,20,-2.52772
184,20,-2.81006
186,20,-3.78016
188,20,-2.92278
190,20,-2.54472
192,20,-2.77215
194,20,-2.78625
196,20,-4.42025
198,20,-3.82172
200,20,-2.97339
202,20,-4.16787
204,20,-2.81084
206,20,-2.46989
208,20,-2.8927
210,20,-3.71902
212,20,-4.1197
214,20,-3.94934
216,20,-3.03081
218,20,-3.66145
220,20,-3.90337
222,20,-2.33861
224,20,-3.60646
226,20,-3.67855
228,20,-2.45735
230,20,-4.31173
232,20,-2.25214
234,20,-3.22429
236,20,-3.01508
238,20,-4.13372
240,20,-2.50763
242,20,-4.26403
244,20,-4.33391
246,20,-2.54894
248,20,-3.61698
250,20,-2.17066
252,20,0.325031
254,20,-0.854785
256,20,0.137847
258,20,0.936515
0,20,0.000275039
