d,τ,µ
50,0,0.0220528
50,2,-0.246261
50,4,-0.558919
50,6,-1.03568
50,8,-1.32209
50,10,-1.64837
50,12,-2.11975
50,14,-2.38731
50,16,-2.70139
50,18,-3.09251
50,20,-3.4963
50,22,-3.85614
50,24,-4.15051
50,26,-4.45116
50,28,-4.82953
50,30,-5.09123
50,32,-5.43862
50,34,-5.83279
50,36,-6.08452
50,38,-6.4404
50,40,-6.7779
50,42,-7.01285
50,44,-7.28909
50,46,-7.64227
50,48,-7.91962
50,50,-8.21658
50,52,-8.49632
50,54,-8.72326
50,56,-8.99028
50,58,-9.23214
50,60,-9.5231
50,62,-9.75794
50,64,-9.99293
50,66,-10.1896
50,68,-10.3805
50,70,-10.6186
50,72,-10.8644
50,74,-11.062
50,76,-11.2608
50,78,-11.3783
50,80,-11.5618
50,82,-11.8205
50,84,-11.8999
50,86,-12.0646
50,88,-12.2462
50,90,-12.3407
50,92,-12.4523
50,94,-12.5717
50,96,-12.6528
50,98,-12.7304
50,102,-12.8803
50,104,-12.9298
50,106,-12.9562
50,108,-13.0127
50,110,-13.081
50,112,-13.0871
50,114,-13.1022
50,116,-13.1582
50,118,-13.2092
50,120,-13.2291
50,122,-13.2888
50,124,-13.2882
50,126,-13.2972
50,128,-13.3422
