d,τ,µ
0,20,0.000241716
2,20,-0.0280803
4,20,-0.0620396
6,20,-0.0879729
8,20,-0.101471
10,20,-0.124769
12,20,-0.136797
14,20,-0.135993
16,20,-0.163655
18,20,-0.176537
20,20,-0.166242
22,20,-0.19108
24,20,-0.21053
26,20,-0.174453
28,20,-0.173171
30,20,-0.243735
32,20,-0.190356
34,20,-0.280984
36,20,-0.174725
38,20,-0.282793
40,20,-0.183077
42,20,-0.292491
44,20,-0.28083
46,20,-0.312228
47,20,-0.161486
48,20,-0.153561
49,20,-0.306979
50,20,-0.295364
52,20,-0.365722
54,20,-0.142853
56,20,-0.192987
58,20,-0.402511
60,20,-0.15699
62,20,-0.119304
64,20,-0.475531
66,20,-0.129145
68,20,-0.0689101
70,20,-0.0593805
72,20,-0.429986
74,20,-0.405062
76,20,-0.415159
78,20,-0.508851
80,20,-0.597631
82,20,-0.113298
84,20,-0.491545
86,20,-0.537786
88,20,0.0616325
90,20,-0.49221
92,20,-0.613543
94,20,0.0340704
96,20,-0.586444
98,20,-0.0551616
100,20,-0.0671472
102,20,0.0182913
104,20,0.0104052
106,20,0.0870167
108,20,-0.0449392
110,20,-0.195477
112,20,-0.0183042
114,20,-0.871945
116,20,-0.830006
118,20,0.141938
120,20,0.235736
122,20,-0.849334
124,20,-0.827576
126,20,0.127954
128,20,-0.0842137
130,20,0.0520498
132,20,-1.06676
134,20,-0.945612
136,20,0.100307
138,20,-1.06959
140,20,0.188244
142,20,0.225025
144,20,-0.0488665
146,20,0.0979282
148,20,0.0944881
150,20,0.0602669
152,20,0.289556
154,20,-1.21783
156,20,-0.0485471
158,20,0.011778
160,20,0.259328
162,20,-1.30469
164,20,0.269532
166,20,-0.882973
168,20,-0.128692
170,20,-0.792439
172,20,-1.40835
174,20,-0.336493
176,20,-1.35052
178,20,-0.11793
180,20,-1.63906
182,20,-0.880685
184,20,-1.104
186,20,-0.263198
188,20,-1.06294
190,20,0.0617898
192,20,-1.68039
194,20,0.0554804
196,20,-0.978154
198,20,-1.40914
200,20,0.211989
202,20,-1.34203
204,20,-0.0734524
206,20,0.203233
208,20,-0.679847
210,20,0.112232
212,20,-1.22571
214,20,-0.607243
216,20,-0.00575319
218,20,-1.28115
220,20,-0.737216
222,20,-0.0491165
224,20,-0.0667503
226,20,-0.12957
228,20,-1.04266
230,20,-2.07906
232,20,-0.497475
234,20,-2.1899
236,20,-1.60781
238,20,-1.17726
240,20,-2.19562
242,20,-2.49391
244,20,-3.57913
246,20,-2.65399
248,20,-2.31967
250,20,-0.935607
252,20,0.978768
254,20,0.184598
256,20,-0.0724022
258,20,1.01221
