d,τ,µ
20,0,0.00235012
20,2,-0.211388
20,4,-0.462843
20,6,-0.738866
20,8,-1.03697
20,10,-1.33099
20,12,-1.61883
20,14,-1.8991
20,16,-2.17527
20,18,-2.45995
20,20,-2.71575
20,22,-2.95672
20,24,-3.19102
20,26,-3.40716
20,28,-3.60516
20,30,-3.78472
20,32,-3.94172
20,34,-4.07893
20,36,-4.19478
20,38,-4.27985
20,40,-4.34644
20,42,-4.3894
20,44,-4.42162
20,46,-4.45045
20,48,-4.46804
20,50,-4.49695
20,52,-4.50474
20,54,-4.52041
20,56,-4.52653
20,58,-4.5352
20,60,-4.54345
20,62,-4.54176
20,64,-4.55172
20,66,-4.54913
20,68,-4.55293
20,70,-4.54838
20,72,-4.54453
20,74,-4.54556
20,76,-4.54456
20,78,-4.54422
20,80,-4.52996
20,82,-4.52935
20,84,-4.52383
20,86,-4.51841
20,88,-4.50883
20,90,-4.50303
20,92,-4.5078
20,94,-4.4966
20,96,-4.49174
20,98,-4.48172
20,100,-4.47222
20,102,-4.46162
20,104,-4.4609
20,106,-4.45619
20,108,-4.44618
20,110,-4.43113
20,112,-4.42347
20,114,-4.41945
20,116,-4.41248
20,118,-4.39836
20,120,-4.39523
20,122,-4.38612
20,124,-4.37163
20,126,-4.36853
20,128,-4.35799
20,130,-4.34467
20,132,-4.33969
20,134,-4.33122
20,136,-4.3177
20,138,-4.30719
20,140,-4.3017
20,142,-4.29206
20,144,-4.2802
20,146,-4.27251
20,148,-4.26698
20,150,-4.25271
20,152,-4.24158
20,154,-4.23667
20,156,-4.22712
20,158,-4.21478
20,160,-4.20964
20,162,-4.19966
20,164,-4.18543
20,166,-4.18269
20,168,-4.16689
20,170,-4.16145
20,172,-4.15052
20,174,-4.14222
20,176,-4.13401
20,178,-4.12218
20,180,-4.1135
20,182,-4.10547
20,184,-4.09369
20,186,-4.08531
20,188,-4.076
20,190,-4.06584
20,192,-4.05498
20,194,-4.04883
20,196,-4.03913
20,198,-4.03187
20,200,-4.01672
20,202,-4.00904
20,204,-4.00394
20,206,-3.99409
20,208,-3.98285
20,210,-3.97259
20,212,-3.96572
20,214,-3.95481
20,216,-3.94746
20,218,-3.93564
20,220,-3.93213
20,222,-3.91801
20,224,-3.91351
20,226,-3.90427
20,228,-3.89628
20,230,-3.88851
20,232,-3.87953
20,234,-3.87003
20,236,-3.85964
20,238,-3.84723
20,240,-3.84483
20,242,-3.8341
20,244,-3.8273
20,246,-3.81962
20,248,-3.80424
20,250,-3.80229
20,252,-3.78937
20,254,-3.77867
20,256,-3.7749
20,258,-3.76031
20,260,-3.7541
20,262,-3.74807
20,264,-3.73695
20,266,-3.73262
20,268,-3.71971
20,270,-3.71522
20,272,-3.70691
20,274,-3.70044
20,276,-3.68539
20,278,-3.6826
20,280,-3.66933
20,282,-3.66593
20,284,-3.65781
20,286,-3.64411
20,288,-3.64039
20,290,-3.63209
20,292,-3.62662
20,294,-3.61362
20,296,-3.61059
20,298,-3.60084
