d,τ,µ
20,0,-0.00671698
20,2,-0.0294124
20,4,-0.0364825
20,6,-0.0591431
20,8,-0.0728945
20,10,-0.0697126
20,12,-0.0970515
20,14,-0.118408
20,16,-0.115871
20,18,-0.150079
20,20,-0.168882
20,22,-0.174555
20,24,-0.184915
20,26,-0.217044
20,28,-0.255516
20,30,-0.230557
20,32,-0.244564
20,34,-0.264338
20,36,-0.285464
20,38,-0.330096
20,40,-0.313815
20,42,-0.351581
20,44,-0.351312
20,46,-0.375088
20,48,-0.403515
20,50,-0.420398
20,52,-0.449396
20,54,-0.437455
20,56,-0.456703
20,58,-0.490354
20,60,-0.491386
20,62,-0.504595
20,64,-0.514737
20,66,-0.543659
20,68,-0.553214
20,70,-0.597555
20,72,-0.60561
20,74,-0.600449
20,76,-0.64505
20,78,-0.659988
20,80,-0.689955
20,82,-0.701287
20,84,-0.689838
20,86,-0.702953
20,88,-0.748166
20,90,-0.753942
20,92,-0.754573
20,94,-0.788382
20,96,-0.794872
20,98,-0.829109
20,100,-0.860075
20,102,-0.844769
20,104,-0.877329
20,106,-0.880652
20,108,-0.892882
20,110,-0.920758
20,112,-0.954155
20,114,-0.946659
20,116,-0.968197
20,118,-1.00702
20,120,-1.02533
20,122,-1.0154
20,124,-1.05009
20,126,-1.07139
20,128,-1.07399
20,130,-1.0936
20,132,-1.12668
20,134,-1.12713
20,136,-1.16258
20,138,-1.17494
20,140,-1.19754
20,142,-1.20344
20,144,-1.21472
20,146,-1.23622
20,148,-1.26487
20,150,-1.27358
20,152,-1.30711
20,154,-1.3272
20,156,-1.33418
20,158,-1.34999
20,160,-1.35395
20,162,-1.39991
20,164,-1.40627
20,166,-1.43333
20,168,-1.44213
20,170,-1.44019
20,172,-1.4567
20,174,-1.49646
20,176,-1.49053
20,178,-1.5342
20,180,-1.53086
20,182,-1.53966
20,184,-1.59044
20,186,-1.58034
20,188,-1.60726
20,190,-1.63203
20,192,-1.64817
20,194,-1.65913
20,196,-1.68314
20,198,-1.70194
20,200,-1.70599
20,202,-1.72972
20,204,-1.73985
20,206,-1.74535
20,208,-1.77971
20,210,-1.79839
20,212,-1.80387
20,214,-1.82033
20,216,-1.85568
20,218,-1.86743
20,220,-1.85374
20,222,-1.88237
20,224,-1.90081
20,226,-1.91369
20,228,-1.95626
20,230,-1.97506
20,232,-1.96437
20,234,-1.97869
20,236,-1.99397
20,238,-2.01528
20,240,-2.05351
20,242,-2.0407
20,244,-2.06245
20,246,-2.0941
20,248,-2.09461
20,250,-2.10655
20,252,-2.12911
20,254,-2.13617
20,256,-2.15197
20,258,-2.1838
20,260,-2.19983
20,262,-2.20285
20,264,-2.2378
20,266,-2.23746
20,268,-2.25156
20,270,-2.27521
20,272,-2.28108
20,274,-2.30372
20,276,-2.32948
20,278,-2.32466
20,280,-2.3402
20,282,-2.36204
20,284,-2.37927
20,286,-2.3809
20,288,-2.41482
20,290,-2.43033
20,292,-2.42332
20,294,-2.43439
20,296,-2.44857
20,298,-2.4796
20,300,-2.47986
20,302,-2.50661
20,304,-2.50473
20,306,-2.51672
20,308,-2.54573
20,310,-2.5563
20,312,-2.56253
20,314,-2.57275
20,316,-2.60032
20,318,-2.61846
20,320,-2.61151
20,322,-2.62931
20,324,-2.6401
20,326,-2.65459
20,328,-2.65477
20,330,-2.68894
20,332,-2.70134
20,334,-2.71004
20,336,-2.70568
20,338,-2.72967
20,340,-2.73459
20,342,-2.74763
20,344,-2.75578
20,346,-2.77118
20,348,-2.78237
20,350,-2.81095
20,352,-2.80037
20,354,-2.8255
20,356,-2.82694
20,358,-2.83572
20,360,-2.86017
20,362,-2.85951
20,364,-2.88257
20,366,-2.90083
20,368,-2.89571
20,370,-2.91715
20,372,-2.91473
20,374,-2.91623
20,376,-2.93308
20,378,-2.95328
20,380,-2.9566
20,382,-2.96275
20,384,-2.97091
20,386,-2.99459
20,388,-2.98929
20,390,-3.00915
20,392,-3.00687
20,394,-3.02912
20,396,-3.03879
20,398,-3.03964
