d,τ,µ
0,20,0.219213
2,20,-0.0107791
4,20,-0.543061
6,20,-1.13119
8,20,-1.68943
10,20,-2.17881
12,20,-2.50556
14,20,-2.71595
16,20,-2.86424
18,20,-2.97014
20,20,-3.06021
22,20,-3.12093
24,20,-3.17093
26,20,-3.20803
28,20,-3.26577
30,20,-3.28351
32,20,-3.32659
34,20,-3.33924
36,20,-3.38928
38,20,-3.38217
40,20,-3.43846
42,20,-3.43518
44,20,-3.46025
46,20,-3.40587
47,20,-3.48923
48,20,-3.50785
49,20,-3.44801
50,20,-3.40544
52,20,-3.38589
54,20,-3.40308
56,20,-3.52423
58,20,-3.43431
60,20,-3.55792
62,20,-3.5603
64,20,-3.62503
66,20,-3.39306
68,20,-3.44449
70,20,-3.44692
72,20,-3.67782
74,20,-3.38813
76,20,-3.66228
78,20,-3.76034
80,20,-3.71982
82,20,-3.43656
84,20,-3.45829
86,20,-3.73021
88,20,-3.83042
90,20,-3.46389
92,20,-3.33053
94,20,-3.30699
96,20,-3.74494
98,20,-3.75854
100,20,-3.85454
102,20,-3.35688
104,20,-3.7736
106,20,-3.91807
108,20,-3.28575
110,20,-3.24799
112,20,-3.27112
114,20,-3.84199
116,20,-3.37911
118,20,-3.38724
120,20,-3.31443
122,20,-3.33874
124,20,-3.13225
126,20,-3.12204
128,20,-3.99212
130,20,-3.87675
132,20,-3.87002
134,20,-4.01908
136,20,-4.05491
138,20,-3.32166
140,20,-3.1819
142,20,-3.29101
144,20,-4.24703
146,20,-3.07343
148,20,-2.99822
150,20,-3.97358
152,20,-3.18099
154,20,-3.9857
156,20,-2.91688
158,20,-3.03649
160,20,-3.05812
162,20,-4.29274
164,20,-4.40947
166,20,-2.93702
168,20,-4.01787
170,20,-3.7807
172,20,-3.11988
174,20,-2.80746
176,20,-2.92119
178,20,-2.8633
180,20,-2.78129
182,20,-4.42659
184,20,-2.95907
186,20,-4.58087
188,20,-3.93518
190,20,-4.11809
192,20,-2.66075
194,20,-3.24302
196,20,-3.79922
198,20,-4.60807
200,20,-2.7026
202,20,-4.24621
204,20,-3.00507
206,20,-3.92009
208,20,-4.31715
210,20,-4.07477
212,20,-3.87681
214,20,-3.62247
216,20,-4.5889
218,20,-4.53806
220,20,-3.35831
222,20,-2.91046
224,20,-4.42626
226,20,-4.62506
228,20,-3.36102
230,20,-4.7268
232,20,-2.92524
234,20,-4.78913
236,20,-3.97424
238,20,-3.46843
240,20,-4.40253
242,20,-4.2538
244,20,-3.71014
246,20,-4.42146
248,20,-1.94501
250,20,0.984285
252,20,0.60991
254,20,1.12394
256,20,-1.05774
258,20,0.519304
0,20,0.219232
