d, τ, N, µ, r
150,10,500,243.884478011366,6.11552198863421
150,20,500,247.183695644579,2.81630435542061
150,30,500,243.419857689577,6.58014231042296
150,40,500,244.963721114398,5.03627888560226
150,50,500,242.872658916145,7.12734108385487
150,60,500,238.908264369676,11.0917356303244
150,70,500,237.614657495888,12.3853425041123
150,80,500,234.518250143278,15.481749856722
150,90,500,232.833458554969,17.1665414450313
150,100,500,234.767417687504,15.2325823124962
