d, τ, N, µ, r
10,150,500,223.191534467568,26.8084655324321
20,150,500,224.575792409309,25.4242075906914
30,150,500,222.527267222142,27.4727327778577
40,150,500,225.142207880621,24.8577921193793
50,150,500,225.733376615194,24.2666233848056
60,150,500,224.753802539859,25.2461974601413
70,150,500,225.47805348782,24.5219465121802
80,150,500,223.617391904773,26.3826080952269
90,150,500,225.234620226293,24.7653797737066
100,150,500,225.8190051908,24.1809948091997
