d, τ, N, µ, r
10,50,500,241.918155020347,8.0818449796528
20,50,500,241.629250259174,8.37074974082634
30,50,500,241.662449551403,8.33755044859669
40,50,500,241.990603001984,8.00939699801609
50,50,500,242.028015498908,7.97198450109241
60,50,500,241.970063864335,8.02993613566468
70,50,500,241.95216384047,8.04783615953048
80,50,500,242.040408266642,7.95959173335805
90,50,500,241.890023345498,8.10997665450165
100,50,500,242.094710979663,7.90528902033651
