d,τ,µ
0,2,0.0789757
1,2,-0.0610073
2,2,-0.146264
3,2,-0.185698
4,2,-0.207806
5,2,-0.222782
6,2,-0.233047
7,2,-0.240783
8,2,-0.272125
9,2,-0.326769
10,2,-0.00177196
