d,τ,µ
0,20,0.219293
2,20,-0.0103861
4,20,-0.542618
6,20,-1.1311
8,20,-1.69054
10,20,-2.17922
12,20,-2.50603
14,20,-2.71866
16,20,-2.85825
18,20,-2.96573
20,20,-3.05026
22,20,-3.11619
24,20,-3.17629
26,20,-3.21772
28,20,-3.26146
30,20,-3.30274
32,20,-3.32576
34,20,-3.34427
36,20,-3.35263
38,20,-3.37067
40,20,-3.43319
42,20,-3.38049
44,20,-3.40552
46,20,-3.47933
47,20,-3.47908
48,20,-3.50025
49,20,-3.41459
50,20,-3.45356
52,20,-3.49375
54,20,-3.54172
56,20,-3.4178
58,20,-3.46767
60,20,-3.46364
62,20,-3.6127
64,20,-3.42337
66,20,-3.48091
68,20,-3.55089
70,20,-3.68513
70,20,-3.63026
72,20,-3.6316
74,20,-3.63285
76,20,-3.66426
78,20,-3.3857
80,20,-3.7352
82,20,-3.74813
84,20,-3.73122
86,20,-3.38612
88,20,-3.41749
90,20,-3.41192
92,20,-3.71695
94,20,-3.3194
96,20,-3.77497
98,20,-3.82613
100,20,-3.85451
102,20,-3.87168
104,20,-3.38353
106,20,-3.7606
108,20,-3.79585
110,20,-4.00796
112,20,-4.01319
114,20,-3.85111
116,20,-3.35082
118,20,-3.38304
120,20,-3.9445
122,20,-3.44228
124,20,-3.35954
126,20,-3.98338
128,20,-3.23173
130,20,-3.04283
132,20,-3.93971
134,20,-3.14561
136,20,-3.10772
138,20,-3.21944
140,20,-3.95626
142,20,-4.17796
144,20,-4.18026
146,20,-3.99415
148,20,-2.35464
150,20,0.300644
152,20,0.381219
154,20,0.291043
156,20,0.451083
158,20,0.284665
160,20,-0.609922
