d,τ,µ
0,50,0.297432
2,50,0.180676
4,50,-0.257082
6,50,-0.825019
8,50,-1.44575
10,50,-2.07502
12,50,-2.68991
14,50,-3.28566
16,50,-3.86055
18,50,-4.41449
20,50,-4.94349
22,50,-5.44894
24,50,-5.91877
26,50,-6.31972
28,50,-6.65222
30,50,-6.91352
32,50,-7.13109
34,50,-7.32487
36,50,-7.48442
38,50,-7.62216
40,50,-7.75124
42,50,-7.8552
44,50,-7.95028
46,50,-8.04673
47,50,-8.04388
48,50,-8.09194
49,50,-8.19129
50,50,-8.1578
52,50,-8.21001
54,50,-8.35114
56,50,-8.41408
58,50,-8.41588
60,50,-8.38783
62,50,-8.53752
64,50,-8.61056
66,50,-8.4442
68,50,-8.49692
70,50,-8.56027
70,50,-8.52783
72,50,-8.51039
74,50,-8.60496
76,50,-8.79353
78,50,-8.85454
80,50,-8.65077
82,50,-8.88307
84,50,-8.67051
86,50,-8.96084
88,50,-8.63332
90,50,-8.66024
92,50,-9.0375
94,50,-9.03916
96,50,-8.69187
98,50,-9.06774
100,50,-9.1445
102,50,-9.16788
104,50,-9.14778
106,50,-9.23173
108,50,-9.13826
110,50,-8.64965
112,50,-9.29904
114,50,-8.75059
116,50,-8.72763
118,50,-8.68397
120,50,-8.60592
122,50,-8.62525
124,50,-9.45769
126,50,-8.66753
128,50,-9.56124
130,50,-8.78505
132,50,-9.57542
134,50,-8.60281
136,50,-8.74369
138,50,-8.84308
140,50,-9.46535
142,50,-8.56063
144,50,-9.31263
146,50,-7.41468
148,50,-6.42906
150,50,0.565389
152,50,0.322372
154,50,-0.632254
156,50,0.508216
158,50,0.358605
