d,τ,µ
20,0,-0.00331582
20,2,-0.209582
20,4,-0.456983
20,6,-0.747795
20,8,-1.03905
20,10,-1.34035
20,12,-1.61834
20,14,-1.9043
20,16,-2.1808
20,18,-2.45137
20,20,-2.71206
20,22,-2.9649
20,24,-3.19
20,26,-3.40095
20,28,-3.60664
20,30,-3.77605
20,32,-3.93904
20,34,-4.07649
20,36,-4.1911
20,38,-4.28043
20,40,-4.34196
20,42,-4.38863
20,44,-4.42428
20,46,-4.45352
20,48,-4.47497
20,50,-4.49452
20,52,-4.50597
20,54,-4.51829
20,56,-4.5257
20,58,-4.53203
20,60,-4.53898
20,62,-4.54026
20,64,-4.54861
20,66,-4.55004
20,68,-4.54752
