d,τ,µ
20,0,0.00632588
20,2,-0.0117291
20,4,-0.0455412
20,6,-0.05799
20,8,-0.096128
20,10,-0.110214
20,12,-0.136269
20,14,-0.153265
20,16,-0.186259
20,18,-0.221746
20,20,-0.238507
20,22,-0.263196
20,24,-0.28842
20,26,-0.310319
20,28,-0.331084
20,30,-0.351999
20,32,-0.377133
20,34,-0.399656
20,36,-0.437093
20,38,-0.457
20,40,-0.476175
20,42,-0.511263
20,44,-0.52083
20,46,-0.553699
20,48,-0.587428
20,50,-0.61204
20,52,-0.617149
20,54,-0.655105
20,56,-0.681328
20,58,-0.704957
20,60,-0.735466
20,62,-0.761835
20,64,-0.770521
20,66,-0.815371
20,68,-0.839688
20,70,-0.857151
20,72,-0.87662
20,74,-0.912698
20,76,-0.938662
20,78,-0.965307
20,80,-0.980867
20,82,-1.00763
20,84,-1.02974
20,86,-1.05955
20,88,-1.09896
20,90,-1.12343
20,92,-1.14968
20,94,-1.16836
20,96,-1.19361
20,98,-1.22199
20,100,-1.25835
20,102,-1.27937
20,104,-1.31436
20,106,-1.32563
20,108,-1.35272
20,110,-1.38751
20,112,-1.42315
20,114,-1.43249
20,116,-1.47334
20,118,-1.50685
20,120,-1.52843
20,122,-1.55745
20,124,-1.58597
20,126,-1.59833
20,128,-1.62846
20,130,-1.67209
20,132,-1.68689
20,134,-1.7286
20,136,-1.73638
20,138,-1.76941
20,140,-1.78746
20,142,-1.83025
20,144,-1.84807
20,146,-1.87981
20,148,-1.88886
20,150,-1.91393
20,152,-1.95963
20,154,-1.98328
20,156,-2.00282
20,158,-2.02726
20,160,-2.05233
20,162,-2.0911
20,164,-2.11195
20,166,-2.14
20,168,-2.15293
20,170,-2.17317
20,172,-2.2136
20,174,-2.23174
20,176,-2.2541
20,178,-2.28582
20,180,-2.29685
20,182,-2.33022
20,184,-2.35276
20,186,-2.38456
20,188,-2.39487
20,190,-2.4299
20,192,-2.4542
20,194,-2.47697
20,196,-2.50874
20,198,-2.52911
20,200,-2.55438
20,202,-2.56913
20,204,-2.59286
20,206,-2.61257
20,208,-2.63447
20,210,-2.6478
20,212,-2.67867
20,214,-2.68294
20,216,-2.72182
20,218,-2.74063
20,220,-2.74984
20,222,-2.78055
20,224,-2.80328
20,226,-2.82081
20,228,-2.84011
20,230,-2.86063
20,232,-2.86715
20,234,-2.89436
20,236,-2.91494
20,238,-2.92684
20,240,-2.95224
20,242,-2.95502
20,244,-2.97725
20,246,-2.99312
20,248,-3.0161
20,250,-3.03501
20,252,-3.06065
20,254,-3.07348
20,256,-3.07899
20,258,-3.08981
20,260,-3.10759
20,262,-3.13109
20,264,-3.15007
20,266,-3.17065
20,268,-3.17971
20,270,-3.19665
20,272,-3.21476
20,274,-3.21496
20,276,-3.22749
20,278,-3.25558
20,280,-3.2489
20,282,-3.27283
20,284,-3.29379
20,286,-3.29434
20,288,-3.30016
20,290,-3.3226
20,292,-3.32679
20,294,-3.36401
20,296,-3.35362
20,298,-3.37639
20,300,-3.37676
20,302,-3.40181
20,304,-3.41272
20,306,-3.42554
20,308,-3.42164
20,310,-3.4348
20,312,-3.44779
20,314,-3.45646
20,316,-3.45943
20,318,-3.48307
20,320,-3.49503
20,322,-3.4936
20,324,-3.50168
20,326,-3.52388
20,328,-3.5143
20,330,-3.53292
20,332,-3.54227
20,334,-3.55076
20,336,-3.56064
20,338,-3.55955
20,340,-3.57774
20,342,-3.58558
20,344,-3.5929
20,346,-3.5903
20,348,-3.60169
20,350,-3.61708
20,352,-3.62329
20,354,-3.63145
20,356,-3.6358
20,358,-3.64865
20,360,-3.6439
20,362,-3.65541
20,364,-3.66305
20,366,-3.67022
20,368,-3.68412
20,370,-3.68482
20,372,-3.68775
20,374,-3.68502
20,376,-3.69295
20,378,-3.69434
20,380,-3.70576
20,382,-3.71633
20,384,-3.71902
20,386,-3.72134
20,388,-3.73282
20,390,-3.73522
20,392,-3.73646
20,394,-3.73849
20,396,-3.73926
20,398,-3.74574
