d,τ,µ
0,20,0.000465741
2,20,-0.0488387
4,20,-0.0860851
6,20,-0.122515
8,20,-0.147983
10,20,-0.170102
12,20,-0.192008
14,20,-0.197116
16,20,-0.219999
18,20,-0.235789
20,20,-0.226607
22,20,-0.256039
24,20,-0.253502
26,20,-0.274352
28,20,-0.24881
30,20,-0.238929
32,20,-0.280322
34,20,-0.30579
36,20,-0.321809
38,20,-0.229164
40,20,-0.329115
42,20,-0.269985
44,20,-0.263832
46,20,-0.372127
47,20,-0.220138
48,20,-0.250955
49,20,-0.388315
50,20,-0.401952
52,20,-0.194888
54,20,-0.215341
56,20,-0.373213
58,20,-0.246314
60,20,-0.170058
62,20,-0.388404
64,20,-0.483962
66,20,-0.519869
68,20,-0.503702
70,20,-0.426005
72,20,-0.493105
74,20,-0.104953
76,20,-0.129119
78,20,-0.102118
80,20,-0.516703
82,20,-0.636131
84,20,-0.1267
86,20,-0.0460168
88,20,-0.501476
90,20,-0.0239704
92,20,-0.0682556
94,20,-0.0928333
96,20,-0.120497
98,20,-0.72023
100,20,-0.0772366
102,20,0.0323856
104,20,-0.0153415
106,20,-0.0109255
108,20,-0.682684
110,20,-0.646585
112,20,0.077321
114,20,-0.0268616
116,20,-0.00115716
118,20,-0.0706936
120,20,-0.861992
122,20,-0.606444
124,20,0.128307
126,20,-0.0554794
128,20,-0.70841
130,20,0.32342
132,20,0.15909
134,20,0.234342
136,20,-0.933014
138,20,0.293139
140,20,-0.824203
142,20,-0.89416
144,20,0.237777
146,20,-0.678409
148,20,0.508242
150,20,-0.489335
152,20,0.328498
154,20,0.52426
156,20,-0.439776
158,20,0.685455
160,20,-0.819764
