d,τ,µ
0,20,-0.00153857
2,20,-0.0468468
4,20,-0.0942124
6,20,-0.131658
8,20,-0.155584
10,20,-0.178481
12,20,-0.198181
14,20,-0.222394
16,20,-0.23929
18,20,-0.242569
20,20,-0.261543
22,20,-0.280386
24,20,-0.278855
26,20,-0.296857
28,20,-0.313428
30,20,-0.287533
32,20,-0.341887
34,20,-0.343839
36,20,-0.342064
38,20,-0.385824
40,20,-0.299812
42,20,-0.380099
44,20,-0.427082
46,20,-0.448469
47,20,-0.292753
48,20,-0.467608
49,20,-0.287432
50,20,-0.471753
52,20,-0.471526
54,20,-0.431385
56,20,-0.282673
58,20,-0.287535
60,20,-0.282589
62,20,-0.360379
64,20,-0.314227
66,20,-0.335641
68,20,-0.273501
70,20,-0.352503
70,20,-0.281964
72,20,-0.669737
74,20,-0.689455
76,20,-0.296634
78,20,-0.687029
80,20,-0.297247
82,20,-0.376687
84,20,-0.286506
86,20,-0.825653
88,20,-0.783041
90,20,-0.268925
92,20,-0.880032
94,20,-0.880437
96,20,-0.417954
98,20,-0.338729
100,20,-1.00364
102,20,-0.869648
104,20,-0.970621
106,20,-0.415023
108,20,-0.978049
110,20,-1.07316
112,20,-0.298572
114,20,-1.16593
116,20,-0.363963
118,20,-1.25397
120,20,-1.15795
122,20,-1.18157
124,20,-1.39524
126,20,-0.701268
128,20,-0.598671
130,20,-0.678802
132,20,-0.831743
134,20,-1.09966
136,20,-1.96194
138,20,-1.53715
140,20,-2.33486
142,20,-1.67992
144,20,-1.95344
146,20,-2.21949
148,20,-3.01544
150,20,-0.433106
152,20,0.397396
154,20,0.566754
156,20,0.587232
158,20,-0.488046
160,20,0.338443
