d,τ,µ
0,20,0.000240446
2,20,0.120345
4,20,-0.256634
6,20,-0.783518
8,20,-1.31311
10,20,-1.78463
12,20,-2.13812
14,20,-2.36406
16,20,-2.51215
18,20,-2.62165
20,20,-2.71184
22,20,-2.7709
24,20,-2.83852
26,20,-2.88183
28,20,-2.91423
30,20,-2.938
32,20,-2.95982
34,20,-2.99523
36,20,-3.03201
38,20,-3.03443
40,20,-3.0368
42,20,-3.03492
44,20,-3.05191
46,20,-3.11988
47,20,-3.13601
48,20,-3.10892
49,20,-3.14352
50,20,-3.14361
52,20,-3.18131
54,20,-3.18211
56,20,-3.06506
58,20,-3.09807
60,20,-3.10207
62,20,-3.13688
64,20,-3.25253
66,20,-3.08737
68,20,-3.10274
70,20,-3.07789
70,20,-3.04094
72,20,-3.29987
74,20,-3.35642
76,20,-3.08105
78,20,-3.05358
80,20,-2.99088
82,20,-3.066
84,20,-3.42523
86,20,-2.97877
88,20,-3.42637
90,20,-2.96985
92,20,-3.50273
94,20,-3.00801
96,20,-3.40081
98,20,-3.38793
100,20,-2.99218
102,20,-3.53759
104,20,-3.55003
106,20,-3.42671
108,20,-3.47645
110,20,-3.59439
112,20,-3.57483
114,20,-3.66176
116,20,-3.46812
118,20,-2.86306
120,20,-3.49191
122,20,-2.81182
124,20,-3.03901
126,20,-3.68021
128,20,-3.77951
130,20,-3.50258
132,20,-3.60025
134,20,-2.8901
136,20,-2.81009
138,20,-3.76936
140,20,-3.89636
142,20,-2.68248
144,20,-2.6837
146,20,-2.79014
148,20,-3.45546
150,20,-1.86566
152,20,-0.600547
154,20,0.509973
156,20,-0.617918
158,20,-0.660084
160,20,0.506229
