d,τ,µ
0,50,0.00322249
2,50,-0.0956519
4,50,-0.200671
6,50,-0.287949
8,50,-0.365721
10,50,-0.419273
12,50,-0.474453
14,50,-0.505401
16,50,-0.539149
18,50,-0.584669
20,50,-0.606139
22,50,-0.638053
24,50,-0.655038
26,50,-0.673276
28,50,-0.671531
30,50,-0.702702
32,50,-0.695932
34,50,-0.732513
36,50,-0.753609
38,50,-0.715171
40,50,-0.691665
42,50,-0.686546
44,50,-0.797453
46,50,-0.84547
47,50,-0.734455
48,50,-0.733649
49,50,-0.895205
50,50,-0.86368
52,50,-0.900566
54,50,-0.889871
56,50,-0.910707
58,50,-0.877465
60,50,-0.876598
62,50,-0.631506
64,50,-0.884119
66,50,-0.643511
68,50,-0.686656
70,50,-0.927693
70,50,-0.633795
72,50,-0.594279
74,50,-0.622055
76,50,-0.998097
78,50,-1.03097
80,50,-0.984811
82,50,-0.632106
84,50,-1.11665
86,50,-0.585838
88,50,-0.593433
90,50,-1.11202
92,50,-1.17329
94,50,-1.10795
96,50,-0.510527
98,50,-1.18554
100,50,-1.00121
102,50,-1.24877
104,50,-0.512157
106,50,-0.416124
108,50,-0.628555
110,50,-0.568922
112,50,-0.674693
114,50,-0.518274
116,50,-1.31423
118,50,-0.411466
120,50,-1.24906
122,50,-0.455784
124,50,-1.29804
126,50,-0.380378
128,50,-0.431854
130,50,-1.51384
132,50,-1.60455
134,50,-0.575593
136,50,-0.25599
138,50,-0.383235
140,50,-1.42103
142,50,-1.23222
144,50,0.231443
146,50,-0.64076
148,50,-0.711272
150,50,-0.415371
152,50,0.207806
154,50,0.680267
156,50,0.38097
158,50,0.640397
