d,τ,µ
20,0,0.00941233
20,2,-0.0121599
20,4,-0.0491646
20,6,-0.0874149
20,8,-0.105225
20,10,-0.118486
20,12,-0.144963
20,14,-0.186434
20,16,-0.212775
20,18,-0.222514
20,20,-0.255613
20,22,-0.292321
20,24,-0.312187
20,26,-0.348441
20,28,-0.364649
20,30,-0.386109
20,32,-0.432201
20,34,-0.44461
20,36,-0.477702
20,38,-0.496612
20,40,-0.524437
20,42,-0.560711
20,44,-0.588385
20,46,-0.622988
20,48,-0.648009
20,50,-0.671558
20,52,-0.696981
20,54,-0.725842
20,56,-0.742805
20,58,-0.785948
20,60,-0.807981
20,62,-0.842481
20,64,-0.880904
20,66,-0.899215
20,68,-0.913198
20,70,-0.948224
20,72,-0.991069
20,74,-1.01676
20,76,-1.04889
20,78,-1.07632
20,80,-1.10362
20,82,-1.13304
20,84,-1.16194
20,86,-1.20184
20,88,-1.23127
20,90,-1.2607
20,92,-1.28322
20,94,-1.30502
20,96,-1.34016
20,98,-1.36641
20,100,-1.40008
20,102,-1.43472
20,104,-1.45825
20,106,-1.4964
20,108,-1.52752
20,110,-1.56751
20,112,-1.5896
20,114,-1.61736
20,116,-1.65946
20,118,-1.6862
20,120,-1.71118
20,122,-1.74482
20,124,-1.76434
20,126,-1.79902
20,128,-1.83912
20,130,-1.86887
20,132,-1.90037
20,134,-1.9123
20,136,-1.95076
20,138,-1.97577
20,140,-2.01641
20,142,-2.04919
20,144,-2.07677
20,146,-2.10878
20,148,-2.11733
20,150,-2.16945
20,152,-2.18033
20,154,-2.22239
20,156,-2.25037
20,158,-2.27558
20,160,-2.3083
20,162,-2.32418
20,164,-2.35401
20,166,-2.37233
20,168,-2.41905
20,170,-2.431
20,172,-2.44408
20,174,-2.47645
20,176,-2.52264
20,178,-2.53167
20,180,-2.54857
20,182,-2.59851
20,184,-2.61021
20,186,-2.65082
20,188,-2.66741
20,190,-2.69699
20,192,-2.71777
20,194,-2.74596
20,196,-2.75664
20,198,-2.78136
20,200,-2.81905
20,202,-2.82771
20,204,-2.85612
20,206,-2.88065
20,208,-2.90609
20,210,-2.92149
20,212,-2.95109
20,214,-2.96607
20,216,-2.98866
20,218,-3.00321
