,d,τ,µ
0,20,38,3.454150217007088e-16
1,20,38,-0.9974039618066862
2,20,38,-1.9487766769120543
3,20,38,-2.9085673918115607
4,20,38,-3.980870813816862
5,20,38,-4.982501289847006
6,20,38,-5.948045317388918
7,20,38,-6.900526711482258
8,20,38,-7.8912268505967775
9,20,38,-8.881547307160563
10,20,38,-9.954308314794387
11,20,38,-6.948108084177465
12,20,38,4.234874096521104
13,20,38,-12.990372978113799
14,20,38,13.515524399524407
15,20,38,6.033232903780828
16,20,38,-3.199402489686049
17,20,38,-16.951123959626035
18,20,38,-2.6124091624737056
19,20,38,-18.556919704123043
