,d,τ,µ
0,0,20,-0.4999999999999999
1,2,20,-2.499999999999999
2,4,20,-4.500000000000001
3,6,20,-6.5
4,8,20,-8.49999999999789
5,10,20,-9.999898919081327
6,12,20,-9.552220999554203
7,14,20,-9.325274024160983
8,16,20,-9.888751267467047
9,18,20,-9.961341089781335
10,20,20,-6.563121841337357
11,22,20,-8.575638963810094
12,24,20,-9.957017161931404
13,26,20,-9.496058832659742
14,28,20,-9.947946404072153
15,30,20,-9.932034638963726
16,32,20,-9.732061378301296
17,34,20,-9.972256778699299
18,36,20,-9.907467091392533
19,38,20,-9.512943696561548
20,40,20,-9.226253788526275
21,42,20,-9.792212071562274
22,44,20,-9.064005189741108
23,46,20,-7.842131111536771
24,48,20,-3.300242816807573
25,50,20,-4.440892098500626e-16
26,52,20,-4.440892098500626e-16
27,54,20,-4.440892098500626e-16
28,56,20,-4.440892098500626e-16
29,58,20,-4.440892098500626e-16
30,60,20,-4.440892098500626e-16
31,62,20,-4.440892098500626e-16
32,64,20,-4.440892098500626e-16
33,66,20,-4.440892098500626e-16
34,68,20,-4.440892098500626e-16
