,d,τ,µ
0,0,20,-0.4999999999999999
1,2,20,20.49995141522347
2,4,20,-4.500000000000001
3,6,20,-6.5
4,8,20,-8.49999999948191
5,10,20,-9.99973515679984
6,12,20,-9.934820425510233
7,14,20,-5.858164771442099
8,16,20,-9.871133662364887
9,18,20,-9.859814168500144
10,20,20,-9.93091180967085
11,22,20,-9.907125613410548
12,24,20,-9.938504662978854
13,26,20,-9.299206524170385
14,28,20,-9.908642359331818
15,30,20,-9.333782305623897
16,32,20,-9.784135861848064
17,34,20,-9.908638571955382
18,36,20,-9.726991766073544
19,38,20,-9.83307854686681
20,40,20,-9.699182705595144
21,42,20,-9.834890830662687
22,44,20,-9.358213795197226
23,46,20,-8.37208004531655
24,48,20,-3.4094433114200924
25,50,20,-4.440892098500626e-16
26,52,20,-4.440892098500626e-16
27,54,20,-4.440892098500626e-16
28,56,20,-4.440892098500626e-16
29,58,20,-4.440892098500626e-16
30,60,20,-4.440892098500626e-16
31,62,20,-4.440892098500626e-16
32,64,20,-4.440892098500626e-16
33,66,20,-4.440892098500626e-16
34,68,20,-4.440892098500626e-16
