,d,τ,µ
0,20,38,3.454150217007088e-16
1,20,38,-0.9974039618066862
2,20,38,-1.9497109607265262
3,20,38,-2.915615068546245
4,20,38,-3.9673122518125825
5,20,38,-4.973965368291027
6,20,38,-5.908003498392741
7,20,38,-6.8561717744478825
8,20,38,-7.934691619857835
9,20,38,-8.50765931447193
10,20,38,-9.92989884298974
11,20,38,-10.892983869284329
12,20,38,-11.949862792725273
13,20,38,-12.957209779273164
14,20,38,4.749037508344951
15,20,38,-7.125035485561854
16,20,38,-15.853948014631067
17,20,38,1.9677829133038975
18,20,38,-1.4474073771628369
19,20,38,-7.70635168085304
