,d,τ,µ
0,20,38,3.454150217007088e-16
1,20,38,-0.9974039618066862
2,20,38,-1.964353547037286
3,20,38,-2.9494121467802303
4,20,38,-3.936014499898343
5,20,38,-4.906484108659389
6,20,38,-5.937800132932144
7,20,38,-6.8923630083677185
8,20,38,-7.92942292975527
9,20,38,-8.882113193497446
10,20,38,-9.950428589119884
11,20,38,-10.944445056279644
12,20,38,-11.915592464966272
13,20,38,-12.91899694696058
14,20,38,-13.943144341006033
15,20,38,-10.23470468289003
16,20,38,-3.0606756311713017
17,20,38,-1.8063600836034297
18,20,38,14.762389226834228
19,20,38,-18.443078942613063
