,d,τ,µ
0,0,20,-0.5
1,2,20,-2.5
2,4,20,-4.5
3,6,20,-6.5
4,8,20,-8.49999999997741
5,10,20,-9.99990081796237
6,12,20,-9.59909392330295
7,14,20,-8.4801408076998
8,16,20,-9.85153086680691
9,18,20,-9.79689297835393
10,20,20,-9.89593025363915
11,22,20,-9.05116036441197
12,24,20,-9.61285375188877
13,26,20,-9.94645256326432
14,28,20,-9.65819835396787
15,30,20,-9.89682960696024
16,32,20,-9.54951806254379
17,34,20,-9.9539577544158
18,36,20,-9.96301157437391
19,38,20,-9.91956869262509
20,40,20,-9.86551796693748
21,42,20,-9.84357910344523
22,44,20,-9.2600976472958
23,46,20,-8.63914606360351
24,48,20,-3.50433337744039
25,50,20,-4.44089209850063E-16
26,52,20,-4.44089209850063E-16
27,54,20,-4.44089209850063E-16
28,56,20,-4.44089209850063E-16
29,58,20,-4.44089209850063E-16
30,60,20,-4.44089209850063E-16
31,62,20,-4.44089209850063E-16
32,64,20,-4.44089209850063E-16
33,66,20,-4.44089209850063E-16
34,68,20,-4.44089209850063E-16
